Unit Code	Unit	Region
HOSP	Hot Springs National Park	MWRO
HOVE	Hovenweep National Monument	IMRO
HPTC	Historic Preservation Training Center	WASO
HSTR	Harry S. Truman National Historic Site	MWRO
HTLN	Heartland Network	WASO
HUTR	Hubbell Trading Post National Historic Site	IMRO
IATR	Ice Age National Scenic Trail	MWRO
ICAG	Ice Age National Scientific Reserve	MWRO
ILMI	Illinois and Michigan Canal National Heritage Corridor	MWRO
IMCRC	Intermountain Cultural Resource Center	IMRO
IMDE	Denver Support Office NPS Support Office	IMRO
IMRO	Intermountain Region NPS Regional Office	IMRO
IMSF	Santa Fe Support Office NPS Support Office	IMRO
INDE	Independence National Historical Park	NERO
INDU	Indiana Dunes National Lakeshore	MWRO
INPE	International Peace Garden	MWRO
INUP	Inupiat Heritage Center Affiliated Area New Bedford Whaling NHP	AKRO
ISRO	Isle Royale National Park	MWRO
ITC	Information Telecommunications Center	WASO
JAGA	James A. Garfield National Historic Site	MWRO
JAME	Jamestown National Historic Site	NERO
JAZZ	New Orleans Jazz National Historical Park	SERO
JECA	Jewel Cave National Monument	MWRO
JEFF	Jefferson National Expansion Memorial National Memorial	MWRO
JELA	Jean Lafitte National Historical Park and Preserve	SERO
JEME	Thomas Jefferson Memorial	NCRO
JICA	Jimmy Carter National Historic Site	SERO
JODA	John Day Fossil Beds National Monument	PWRO
JODR	John D. Rockefeller Jr. Memorial Parkway	IMRO
JOER	John Ericsson National Memorial	NCRO
JOFI	John Fitzgerald Kennedy National Historic Site	NERO
JOFL	Johnstown Flood National Memorial	NERO
JOMU	John Muir National Historic Site	PWRO
JOTR	Joshua Tree National Park	PWRO
JUBA	Juan Bautista De Anza National Historic Trail	PWRO
KAHO	Kaloko-Honokohau National Historical Park	PWRO
KALA	Kalaupapa National Historical Park	PWRO
KATM	Katmai National Park and Preserve	AKRO
KEFJ	Kenai Fjords National Park	AKRO
KEMO	Kennesaw Mountain National Battlefield Park	SERO
KEPA	Kenilworth Park and Aquatic Gardens	NCRO
KEWE	Keweenaw National Historical Park	MWRO
KICA	Kings Canyon National Park	PWRO
KIMO	Kings Mountain National Military Park	SERO
KLGO	Klondike Gold Rush National Historical Park	AKRO
KLMN	Klamath Network	PWRO
KLSE	Klondike Gold Rush - Seattle Unit National Historical Park	PWRO
KNRI	Knife River Indian Villages National Historic Site	MWRO
KOVA	Kobuk Valley National Park	AKRO
KWVM	Korean War Veterans National Memorial	NCRO
LABE	Lava Beds National Monument	PWRO
LACH	Lake Chelan National Recreation Area	PWRO
LACL	Lake Clark National Park and Preserve	AKRO
LAFO	Land Acquisition Field Office	WASO
LAKA	Lake Clark Katmai Studies Center	AKRO
LAME	Lake Mead National Recreation Area	PWRO
LAMEEPMT	Lake Mead Exotic Plant Management Team	WASO
LAMP	Lamprey Wild and Scenic River	NERO
LAMR	Lake Meredith National Recreation Area	IMRO
LANDS	Land Resources Division	WASO
LARO	Lake Roosevelt National Recreation Area	PWRO
LAVO	Lassen Volcanic National Park	PWRO
LECL	Lewis and Clark National Historic Trail	MWRO
LEWI	Lewis And Clark National and State Historical Parks	PWRO
LIBI	Little Bighorn Battlefield National Monument	IMRO
LIBO	Lincoln Boyhood National Memorial	MWRO
LIHO	Lincoln Home National Historic Site	MWRO
LIME	Lincoln Memorial	NCRO
LIRI	Little River Canyon National Preserve	SERO
LOEA	Lower East Side Tenement Museum National Historic Site	NERO
LONG	Longfellow National Historic Site	NERO
LOSA	Lower Saint Croix - 1968 National Scenic River	MWRO
LOWE	Lowell National Historical Park	NERO
LYBA	Lyndon Baines Johnson Memorial Grove on the Potomac National Memorial	NCRO
LYJO	Lyndon B. Johnson National Historical Park	IMRO
MAAC	Maine Acadian Culture	NERO
MAAL	Mar-A-Lago National Historic Site	SERO
MABI	Marsh-Billings-Rockefeller National Historical Park	NERO
MACA	Mammoth Cave National Park	SERO
MAEPMT	Mid-Atlantic Exotic Plant Management Team	WASO
MAHE	Marin Headlands Sites	PWRO
MALL	National Mall	NCRO
MALU	Martin Luther King, Jr National Historic Site	SERO
MANA	Manassas National Battlefield Park	NCRO
MANZ	Manzanar National Historic Site	PWRO
MASI	Manhattan Sites	NERO
MAUR	Maurice National Wild and Scenic River	NERO
MAVA	Martin Van Buren National Historic Site	NERO
MAWA	Maggie L. Walker National Historic Site	NERO
MCHO	McLoughlin House National Historic Site	PWRO
MCR	Museum Resource Center	NCRO
MEAF	US/Mexico Affairs Office Group Office	IMRO
MEDN	Mediterranean Coast Network	PWRO
MEHI	Meridian Hill National Park	NCRO
MEVE	Mesa Verde National Park	IMRO
MICU	Mimbres Culture National Monument	IMRO
MIDN	Mid-Atlantic Network	WASO
MIIN	Minidoka Internment National Monument	IMRO
MIMA	Minute Man National Historical Park	NERO
MIMI	Minuteman Missile National Historic Site	MWRO
MISS	Mississippi National River and Recreation Area	MWRO
MLKJ	Martin Luther King, Jr. National Memorial	NCRO
MMBC	Mary McLeod Bethune Council House National Historic Site	NCRO
MNRR	Missouri National Recreational River	MWRO
MOCA	Montezuma Castle National Monument	IMRO
MOCR	Moores Creek National Battlefield	SERO
MOJA	Mojave National Preserve	PWRO
MOJN	Mojave Desert Network	WASO
MONO	Monocacy National Battlefield	NCRO
MOPI	Mormon Pioneer National Historic Trail	IMRO
MORA	Mount Rainier National Park	PWRO
MORR	Morristown National Historical Park	NERO
MORU	Mount Rushmore National Memorial	MWRO
MRCC	Mississippi River Corridor Study Comm.	MWRO
MTSO	Mt. Soledad National Memorial	PWRO
MUWO	Muir Woods National Monument	PWRO
MWAC	Midwest Archeological Center	MWRO
MWRO	Midwest Region NPS Regional Office	MWRO
MWSO	Midwest Support Office NPS Support Office	MWRO
NABR	Natural Bridges National Monument	IMRO
NACE	National Capital Parks-East	NCRO
NACP	National Capital Parks	NCRO
NACRC	National Center for Recreation and Conservation	WASO
NAMA	National Mall and Memorial Parks	NCRO
NATC	Natchez National Historical Park	SERO
NATR	Natchez Trace National Parkway	SERO
NATT	Natchez Trace National Scenic Trail	SERO
NAVA	Navajo National Monument	IMRO
NAVY	U.S. Navy Memorial	NCRO
NCBN	Northeast Coastal and Barrier Network	WASO
NCCN	North Coast and Cascades Network	WASO
NCCNEPMT	North Coast/Cascade Network Exotic Plant Management Team	WASO
NCPN	Northern Colorado Plateau Network	WASO
NCPT	National Center for Preservation Technology and Training	WASO
NCREPMT	National Capital Region Exotic Plant Management Team	WASO
NCRN	National Capital Region Network	WASO
NCRO	National Capital Region NPS Regional Office	NCRO
NCSO	National Capital Support Office NPS Support Office	NCRO
NEBE	New Bedford Whaling National Historical Park	NERO
NECRC	Northeast Cultural Resources Center	NERO
NEEN	New England National Scenic Trail	NERO
NEEPMT	Northeast Exotic Plant Management Team	WASO
NEJE	New Jersey Coastal Heritage Trail Route	NERO
NELO	NER Land Resources Project Center	NERO
NEPE	Nez Perce National Historical Park	PWRO
NERI	New River Gorge National River	NERO
NERO	Northeast Region NPS Regional Office	NERO
NETN	Northeast Temperate Network	WASO
NGPEPMT	Northern Great Plains Exotic Plant Management Team	WASO
NGPN	Northern Great Plains Network	WASO
NICO	Nicodemus National Historic Site	MWRO
NIFC	National Interagency Fire Center	PWRO
NIMI	Niobrara and Missouri National Scenic and Recreational Rivers	MWRO
NIOB	Niobrara National Scenic River	MWRO
NISI	Ninety Six National Historic Site	SERO
NLEM	National Law Enforcement Officers National Memorial	NCRO
NOAT	Noatak National Preserve	AKRO
NOCA	North Cascades National Park	PWRO
NOCO	North Country National Scenic Trail	MWRO
NPNH	National Parks of New York Harbor Management Unit	NCRO
NPSA	National Park of American Samoa National Park	PWRO
NRID	Natural Resource Information Division Washington Office	WASO
NRIM	Natural Resource Inventory and Monitoring Program	WASO
NRLO	New River Gorge Land Acq. Field Office Lands Office	NERO
NRMEPMT	Northern Rocky Mountain Exotic Plant Management Team	WASO
NRPC-DEN	Natural Resources Program Center-Denver	WASO
NRPC-FC	Natural Resources Program Center-Fort Collins	WASO
NTIR	Nationa Trails Intermountain Region	IMRO
OBRI	Obed Wild and Scenic River	SERO
OCJO	Oconaluftee Job Corps Civ. Cons. Center Job Corps Center	SERO
OCMU	Ocmulgee National Monument	SERO
OFIE	Federal Law Enforcement Training Center	WASO
OKCI	Oklahoma City National Memorial	IMRO
OLSP	Old Spanish National Historic Trail	IMRO
OLST	The Old Stone House	NCRO
OLYM	Olympic National Park	PWRO
OMLA	Office of Mexico and Latin Affairs	WASO
OPOT	Old Post Office Tower	NCRO
ORCA	Oregon Caves National Monument	PWRO
OREG	Oregon National Historic Trail	IMRO
ORPI	Organ Pipe Cactus National Monument	IMRO
OVVI	Overmountain Victory National Historic Trail	SERO
OXHI	Oxon Cove Park and Oxon Hill Run	NCRO
OXRU	Oxon Run National Parkway	NCRO
OZAR	Ozark National Scenic Riverways	MWRO
